PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
007en,rn3rk1/4pp1p/3p2pB/2q4P/3bP1b1/Pp2Q3/1P2B3/1K1R2NR w - - 0 20,e3d4 c5c2 b1a1 a8a3 b2a3 c2a2,1972,75,100,126,long mate mateIn3 middlegame queensideAttack sacrifice,https://lichess.org/jzE2yKAk#39,
00cxg,r2qk2r/1p2bpp1/p2pp3/8/4b2P/4B3/PPPQB3/2K3RR b kq - 1 17,g7g6 d2d4 e4h1 d4h8 e8d7 h8d8,1837,75,97,694,advantage fork long middlegame,https://lichess.org/gegRTD5O/black#34,Sicilian_Defense Sicilian_Defense_Najdorf_Variation
00fky,5rk1/ppqb1p1p/2p2Bp1/3p4/8/2P2Q2/PP3PPP/4R1K1 b - - 0 19,f8e8 e1e8 d7e8 f3e3 c7d6 e3e8,1984,75,98,718,advantage endgame kingsideAttack long,https://lichess.org/XuK4pm8q/black#38,
00gEe,8/pp4bk/2q2npp/2P1Bp2/5P1P/1Q2p1P1/P3Pn2/3R1RK1 w - - 1 30,b3e3 f2h3 g1h2 f6g4 h2h3 g4e3,2387,81,99,183,crushing exposedKing fork long master middlegame,https://lichess.org/THqBcNDR#59,
00gbj,8/8/8/3k2K1/6nP/6P1/8/8 b - - 4 57,g4e5 g5f5 e5c4 h4h5 c4d6 f5g6,2528,80,100,97,crushing defensiveMove endgame knightEndgame long quietMove,https://lichess.org/TwMT1En7/black#114,
00iXO,r6r/pp2kB2/1bpR1p2/4p1p1/6b1/1QP3p1/PP3PP1/4R1K1 w - - 2 23,d6d2 b6f2 d2f2 h8h1 g1h1 g3f2,2579,106,100,49,advancedPawn advantage fork long middlegame sacrifice,https://lichess.org/asLbpMTy#45,
00pdW,4Q3/6pk/p7/4Pq1p/2r2P2/P5P1/1P5P/5RK1 w - - 2 36,e5e6 f5c5 f1f2 c4c2 e8h5 c5h5,2267,76,100,95,crushing endgame long,https://lichess.org/EgxR1ng4#71,
01D3S,6k1/pp4pp/r2P4/5q2/2PR4/B2RK1Pb/P6P/8 b - - 3 32,h3g2 d6d7 a6e6 e3d2 f5a5 d2c2,2215,89,100,41,advancedPawn advantage defensiveMove endgame long,https://lichess.org/XNZkP9zx/black#64,
01Npb,8/8/2p3p1/2P2p1b/3Bk2K/4P3/7P/8 w - - 15 41,h4g5 f5f4 e3f4 e4d4 f4f5 g6f5,1951,76,100,97,bishopEndgame crushing deflection endgame long,https://lichess.org/Q1lmmoFb#81,
01fsb,3q1rk1/1R3ppp/r5b1/p1bN4/6P1/5N1P/P1P2P2/3QR1K1 w - - 1 18,b7d7 d8d7 d5f6 a6f6 d1d7 f6f3,2150,76,97,276,advantage hangingPiece long master middlegame,https://lichess.org/8n74QdMs#35,French_Defense French_Defense_Schlechter_Variation
01y88,5r2/1P1k4/3bp3/6p1/3K4/4P1p1/6B1/7R b - - 5 39,f8f2 h1h7 d7e8 g2c6 e8f8 h7d7,2146,99,100,33,crushing endgame long master,https://lichess.org/KXYwIKUv/black#78,
02Gyp,8/4k3/5R1K/4r1p1/6P1/8/8/8 w - - 0 63,f6f5 e5f5 g4f5 e7f6 h6h5 f6f5,1950,76,97,713,crushing endgame long rookEndgame,https://lichess.org/VkeIu8Do#125,
02Q6Q,5k1R/bP6/3q2p1/1Q1p1p2/4p3/7P/6P1/r4N1K b - - 2 39,f8g7 b5b2 d6f6 b7b8q a7b8 b2b8,2756,88,100,129,advancedPawn advantage deflection endgame fork long promotion,https://lichess.org/CwteutNM/black#78,
02Uju,8/1pp2pk1/p4Np1/4P1K1/1Pr5/r1P4R/8/8 b - - 5 41,a3c3 h3h7 g7f8 h7h8 f8e7 h8e8,1853,98,100,40,endgame hookMate long mate mateIn3,https://lichess.org/gTC1F0td/black#82,
02Y5F,8/6p1/5pNk/r4P1p/3b3P/6P1/3R3K/8 b - - 4 44,d4e5 d2d8 e5g3 h2g3 a5f5 g6e7,2209,89,98,51,crushing endgame long quietMove,https://lichess.org/dgdWuck4/black#88,
